PERGUNTAS,RESPOSTAS
"Você poderia nos passar as informações de contato deste grupo e, se houver, o site oficial?",Pode nos enviar um e-mail no grupoturing.usp@gmail.com ou no nosso site (grupoturing.com.br)
Como posso entrar em contato com vocês?,"Pode mandar a mensagem por aqui mesmo, mas se quiser algo mais formal, pode nos enviar um e-mail no grupoturing.usp@gmail.com"
Quero falar com o líder de vocês,"Fale com nossa diretora de estratégia, Camila Lobianco, no número (62) 96426900"
Vocês oferecem curso de programação?,"Não oferecemos aulas síncronas de nenhuma linguagem de programação. Nosso grupo é voltado para pesquisa, aplicações de projetos e realizações de eventos. Entretanto, em nosso canal no youtube você pode encontrar aulas de Python, C e outros workshops e palestras de diversos assuntos: https://www.youtube.com/channel/UCIZSLh8_ST5np3k60qWOiAA"
Alunos do ICMSC podem fazer parte do grupo Turing também?,"Sim, somos abertos a todos os institutos da USP para alunos da graduação e da pós-graduação"
Alunos de São Carlos podem fazer parte do grupo Turing também?,"Sim, somos abertos a todos os institutos da USP para alunos da graduação e da pós-graduação"
Alunos da EACH podem fazer parte do grupo Turing também?,"Sim, somos abertos a todos os institutos da USP para alunos da graduação e da pós-graduação"
Alunos do IME podem fazer parte do grupo Turing também?,"Sim, somos abertos a todos os institutos da USP para alunos da graduação e da pós-graduação"
"Alunos da pós Graduação, mestrado e doutorado podem fazer parte do grupo?","Alunos da pós Graduação, mestrado e doutorado podem fazer parte do grupo"
"Ao participar do grupo, recebe-se algum salário, bolsa ou compensação financeira?",Não há nenhum tipo de contrapartida financeira para os membros do grupo. O trabalho é 100% voluntário
"Se possível, gostaria de poder conhecer mais sobre a extensão de vocês","Para conhecer o grupo, veja nosso Instagram @grupoturing.usp, nossos posts no medium (https://medium.com/turing-talks), conheça nosso site (grupoturing.com.br) e entre na nossa comunidade no Discord - https://discord.gg/26RGmBS "
Quando abre o Processo Seletivo?,"O processo seletivo do Grupo Turing abre apenas uma vez por ano, no inicio do ano letivo da USP. Para acompanhar notícias sobre o processo siga nossas redes sociais:
Instagram: @grupoturing.usp"
