PERGUNTAS;RESPOSTAS;SAUDACAO
Você poderia nos passar as informações de contato deste grupo e, se houver, o site oficial?;Pode nos enviar um e-mail no grupoturing.usp@gmail.com ou no nosso site (grupoturing.com.br);0.0
Como posso entrar em contato com vocês?;Pode mandar a mensagem por aqui mesmo, mas se quiser algo mais formal, pode nos enviar um e-mail no grupoturing.usp@gmail.com;0.0
Quero falar com o líder de vocês;"Não possuímos um ""líder"" ou um ""chefe"", portanto pode mandar a mensagem por aqui mesmo, mas se quiser algo mais formal, pode nos enviar um e-mail no grupoturing.usp@gmail.com";0.0
Vocês oferecem curso de programação?;Não oferecemos aulas síncronas de nenhuma linguagem de programação. Nosso grupo é voltado para pesquisa, aplicações de projetos e realizações de eventos. Entretanto, em nosso canal no youtube você pode encontrar aulas de Python, C e outros workshops e palestras de diversos assuntos: https://www.youtube.com/channel/UCIZSLh8_ST5np3k60qWOiAA;0.0
Alunos do ICMSC podem fazer parte do grupo Turing também?;Somos abertos a todos os institutos da USP para alunos da graduação e da pós-graduação;0.0
Alunos de São Carlos podem fazer parte do grupo Turing também?;Somos abertos a todos os institutos da USP para alunos da graduação e da pós-graduação;0.0
Alunos da EACH podem fazer parte do grupo Turing também?;Somos abertos a todos os institutos da USP para alunos da graduação e da pós-graduação;0.0
Alunos do IME podem fazer parte do grupo Turing também?;Somos abertos a todos os institutos da USP para alunos da graduação e da pós-graduação;0.0
Alunos da pós Graduação, mestrado e doutorado podem fazer parte do grupo?;Alunos da pós Graduação, mestrado e doutorado podem fazer parte do grupo;0.0
Ao participar do grupo, recebe-se algum salário, bolsa ou compensação financeira?;Não há nenhum tipo de contrapartida financeira para os membros do grupo. O trabalho é 100% voluntário;0.0
Se possível, gostaria de poder conhecer mais sobre a extensão de vocês;Para conhecer o grupo, veja nosso Instagram @grupoturing.usp, nossos posts no medium (https://medium.com/turing-talks), conheça nosso site (https://grupoturing.com.br) e entre na nossa comunidade no Discord - https://discord.gg/26RGmBS;0.0
Quando abre o Processo Seletivo?;O processo seletivo do Grupo Turing abre apenas uma vez por ano, no inicio do ano letivo da USP. Para acompanhar notícias sobre o processo siga nossas redes sociais: https://linktr.ee/GrupoTuring;0.0
Quando abre o PS?;O processo seletivo do Grupo Turing abre apenas uma vez por ano, no inicio do ano letivo da USP. Para acompanhar notícias sobre o processo siga nossas redes sociais: https://linktr.ee/GrupoTuring;0.0
Seria possível indicar pra mim alguns livros de Inteligência Artificial;Aluguns dos livros clássicos de ML são: \nHands-On Machine Learning with Scikit-Learn and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems \nDeep Learning (Adaptive Computation and Machine Learning series) \nThe Elements of Statistical Learning: Data Mining, Inference, and Prediction;0.0
Vai ter ps de meio de ano?;Não, nossos processos seletivos são realizados apenas no começo de cada ano letivo;0.0
Vai ter proceso seletivo de meio de ano?;Não, nossos processos seletivos são realizados apenas no começo de cada ano letivo;0.0
